Img_Name,Label
08-10 16.33.50_7616.jpg,Speed Limit 60
06-07 14.29.12_8356.jpg,Speed Limit 60
08-31 13.51.16_1328.jpg,Speed Limit 60
03-10 03.24.52_9092.jpg,Speed Limit 60
08-27 10.55.15_3618.jpg,Speed Limit 60
08-17 12.40.03_1323.jpg,Speed Limit 60
05-20 08.48.06_7734.jpg,Speed Limit 60
05-19 17.59.05_4892.jpg,Speed Limit 60
01-05 10.15.27_2_4542.jpg,Speed Limit 60
03-10 03.15.59_6188.jpg,Speed Limit 60
06-07 14.29.12_8915.jpg,Speed Limit 60
02-22 05.39.45_7871.jpg,Speed Limit 60
08-27 12.28.38_2060.jpg,Speed Limit 60
08-10 17.05.46_6461.jpg,Speed Limit 60
03-05 01.12.26_5381.jpg,Speed Limit 60
08-17 12.40.03_9038.jpg,Speed Limit 60
08-11 14.01.58_3784.jpg,Speed Limit 60
08-12 09.47.17_6573.jpg,Speed Limit 60
05-20 08.48.06_7445.jpg,Speed Limit 60
08-27 12.26.19_7352.jpg,Speed Limit 60
08-26 17.33.42_2495.jpg,Speed Limit 60
08-31 13.41.46_8649.jpg,Speed Limit 60
03-05 02.27.40_7191.jpg,Speed Limit 60
08-31 13.51.16_3733.jpg,Speed Limit 60
03-10 03.24.52_4693.jpg,Speed Limit 60
05-19 17.56.40_7309.jpg,Speed Limit 60
05-19 18.02.20_7702.jpg,Speed Limit 60
05-19 17.56.40_3149.jpg,Speed Limit 60
08-12 09.46.57_9551.jpg,Speed Limit 60
08-11 14.18.32_9059.jpg,Speed Limit 60
08-17 12.40.03_6525.jpg,Speed Limit 60
06-04 15.05.40_1821.jpg,Speed Limit 60
08-27 12.26.19_6591.jpg,Speed Limit 60
08-26 17.51.32_4282.jpg,Speed Limit 60
08-12 08.30.34_6547.jpg,Speed Limit 60
01-18 01.15.08_3685.jpg,Speed Limit 60
08-31 13.41.46_1707.jpg,Speed Limit 60
02-22 05.39.45_4246.jpg,Speed Limit 60
05-19 17.56.40_0000.jpg,Speed Limit 60
08-27 12.26.45_4700.jpg,Speed Limit 60
06-07 14.26.47_3322.jpg,Speed Limit 60
08-27 10.54.59_3977.jpg,Speed Limit 60
08-26 17.33.42_1665.jpg,Speed Limit 60
08-12 08.32.20_4636.jpg,Speed Limit 60
06-07 14.26.47_2219.jpg,Speed Limit 60
08-27 12.28.38_3875.jpg,Speed Limit 60
03-10 03.15.59_2207.jpg,Speed Limit 60
06-04 15.06.03_1775.jpg,Speed Limit 60
03-10 03.25.29_4311.jpg,Speed Limit 60
08-26 17.33.42_5075.jpg,Speed Limit 60
06-07 14.26.47_8563.jpg,Speed Limit 60
08-26 17.33.42_8612.jpg,Speed Limit 60
08-17 13.13.17_6361.jpg,Speed Limit 60
08-26 17.33.42_3372.jpg,Speed Limit 60
08-12 09.47.17_2024.jpg,Speed Limit 60
08-12 08.30.34_8005.jpg,Speed Limit 60
08-27 12.28.38_4876.jpg,Speed Limit 60
08-31 13.51.16_7983.jpg,Speed Limit 60
08-17 12.40.03_3919.jpg,Speed Limit 60
08-27 12.26.19_1879.jpg,Speed Limit 60
08-26 17.51.32_4103.jpg,Speed Limit 60
06-04 15.06.03_9311.jpg,Speed Limit 60
03-10 03.15.59_2862.jpg,Speed Limit 60
05-19 17.56.40_8669.jpg,Speed Limit 60
01-18 01.15.08_8755.jpg,Speed Limit 60
08-10 17.05.46_6412.jpg,Speed Limit 60
08-12 09.47.17_3988.jpg,Speed Limit 60
06-04 15.05.40_4700.jpg,Speed Limit 60
08-12 09.47.17_9400.jpg,Speed Limit 60
08-26 14.49.26_2740.jpg,Speed Limit 60
08-27 12.26.45_5264.jpg,Speed Limit 60
08-31 13.41.46_8380.jpg,Speed Limit 60
03-05 01.12.26_9904.jpg,Speed Limit 60
08-27 10.55.15_2865.jpg,Speed Limit 60
08-26 12.47.14_5354.jpg,Speed Limit 60
08-27 10.55.15_7145.jpg,Speed Limit 60
05-19 18.02.20_2801.jpg,Speed Limit 60
08-31 13.44.05_0000.jpg,Speed Limit 60
02-22 05.39.45_7422.jpg,Speed Limit 60
08-17 12.40.03_7180.jpg,Speed Limit 60
05-20 11.26.15_1890.jpg,Speed Limit 60
08-12 08.32.20_3617.jpg,Speed Limit 60
03-05 01.12.26_7784.jpg,Speed Limit 60
01-05 10.15.27_2_5168.jpg,Speed Limit 60
01-20 01.25.33_5360.jpg,Speed Limit 60
08-27 10.54.59_7513.jpg,Speed Limit 60
08-27 12.28.38_7912.jpg,Speed Limit 60
08-26 17.33.42_6213.jpg,Speed Limit 60
01-18 01.15.08_3744.jpg,Speed Limit 60
06-04 15.06.03_5310.jpg,Speed Limit 60
01-18 01.15.08_0000.jpg,Speed Limit 60
08-27 10.54.59_6423.jpg,Speed Limit 60
05-19 13.43.50_7125.jpg,Speed Limit 60
08-27 12.26.19_2346.jpg,Speed Limit 60
08-10 17.05.46_6753.jpg,Speed Limit 60
08-12 08.32.20_3921.jpg,Speed Limit 60
06-04 15.05.35_7109.jpg,Speed Limit 60
03-10 03.27.27_3669.jpg,Speed Limit 60
08-31 13.51.16_6523.jpg,Speed Limit 60
03-05 02.27.40_1644.jpg,Speed Limit 60
05-20 11.26.15_3269.jpg,Speed Limit 60
08-26 17.33.42_7404.jpg,Speed Limit 60
08-26 12.47.14_8068.jpg,Speed Limit 60
